epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,40832.3,0.54983,0.34178,0.95068,0.99453,0.945,0.98958,0.87624,0.57817,0.31473,0.97277,0.0007856,0.0007856,0.0007856
94,41203.8,0.52722,0.32857,0.94431,0.9814,0.975,0.98972,0.84427,0.72559,0.3664,1.06823,0.0007724,0.0007724,0.0007724
95,41683.7,0.52582,0.31908,0.94312,0.97219,0.92,0.97061,0.83535,0.88758,0.44464,1.30222,0.0007592,0.0007592,0.0007592
96,42195.8,0.52857,0.33404,0.93802,0.98401,0.97,0.98204,0.87755,0.59676,0.32226,0.9762,0.000746,0.000746,0.000746
97,42703.6,0.52501,0.33337,0.93044,0.96887,0.965,0.98484,0.85861,0.65844,0.38677,1.01335,0.0007328,0.0007328,0.0007328
98,43224.7,0.51625,0.325,0.9327,0.97499,0.97457,0.98139,0.85885,0.59562,0.35116,0.9778,0.0007196,0.0007196,0.0007196
99,43740.9,0.50723,0.31852,0.92446,0.97523,0.98413,0.9869,0.85865,0.56596,0.31768,0.95205,0.0007064,0.0007064,0.0007064
100,44251.9,0.51145,0.32331,0.93483,0.94631,0.96938,0.97998,0.84329,0.81048,0.43025,1.2002,0.0006932,0.0006932,0.0006932
101,44764.1,0.49693,0.31275,0.91678,0.9637,0.92919,0.96357,0.84219,0.91901,0.45648,1.30152,0.00068,0.00068,0.00068
102,45345,0.51004,0.32563,0.91931,0.97412,0.94118,0.97099,0.83351,0.90526,0.42056,1.33084,0.0006668,0.0006668,0.0006668
103,46167.5,0.50955,0.31716,0.93006,0.9512,0.98,0.97897,0.85202,0.64399,0.3783,1.02075,0.0006536,0.0006536,0.0006536
104,46701.9,0.50523,0.31401,0.91896,0.97735,0.97,0.98409,0.86154,0.66928,0.35893,1.05182,0.0006404,0.0006404,0.0006404
105,47224.7,0.51013,0.31298,0.92556,0.96101,0.93,0.96921,0.83458,0.88947,0.4473,1.33654,0.0006272,0.0006272,0.0006272
106,47742.9,0.50306,0.31051,0.93154,0.95474,0.94935,0.97407,0.85189,0.76328,0.45496,1.16749,0.000614,0.000614,0.000614
107,48255.9,0.48291,0.29459,0.92444,0.95374,0.96,0.98142,0.85055,0.75003,0.3926,1.1431,0.0006008,0.0006008,0.0006008
108,48763.6,0.48697,0.30832,0.92518,0.98484,0.97444,0.98849,0.85583,0.74105,0.37262,1.1248,0.0005876,0.0005876,0.0005876
109,49276.2,0.50058,0.30721,0.92842,0.98262,0.98,0.98401,0.85808,0.69159,0.35918,1.04674,0.0005744,0.0005744,0.0005744
110,49774.6,0.50122,0.31327,0.93826,0.97999,0.97967,0.9829,0.85233,0.80761,0.36498,1.17032,0.0005612,0.0005612,0.0005612
111,50289.9,0.5015,0.30888,0.93757,0.97713,0.97,0.9841,0.85906,0.69011,0.35122,1.05888,0.000548,0.000548,0.000548
112,50778.1,0.49994,0.31034,0.92696,0.96089,0.99,0.98727,0.86123,0.61694,0.3228,0.99868,0.0005348,0.0005348,0.0005348
113,51490.8,0.48236,0.29755,0.91757,0.98338,0.985,0.9832,0.84438,0.66543,0.36651,1.06954,0.0005216,0.0005216,0.0005216
114,52017.8,0.48432,0.30518,0.92565,0.97511,0.97952,0.98418,0.85349,0.69024,0.36784,1.08532,0.0005084,0.0005084,0.0005084
115,52450.7,0.47683,0.29054,0.91384,0.96785,0.975,0.97351,0.84378,0.63787,0.34599,1.06924,0.0004952,0.0004952,0.0004952
116,52885,0.48418,0.30789,0.93617,0.9749,0.975,0.98621,0.83769,0.74187,0.4195,1.11435,0.000482,0.000482,0.000482
117,53307.8,0.48943,0.31111,0.92789,0.97486,0.96929,0.98317,0.82352,0.7419,0.36911,1.1235,0.0004688,0.0004688,0.0004688
118,53740.1,0.49368,0.299,0.925,1,0.97962,0.99475,0.84207,0.70697,0.3666,1.08328,0.0004556,0.0004556,0.0004556
119,54167.7,0.48878,0.30156,0.93393,0.9949,0.97494,0.99048,0.85842,0.66859,0.34049,1.05103,0.0004424,0.0004424,0.0004424
